SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Stage,Context,xPos,yPos,zPos,xRot,yRot,zRot
0,7_25,11_53_43,6.206536,1,0,0,0,1.920042,InstructionPhase,A,0.003111601,2.419179,-0.006605744,359.1569,0.4162414,355.8557,
0,7_25,11_53_43,6.217522,1,0,0,0,1.931027,InstructionPhase,A,0.00311327,2.419102,-0.006610632,359.2088,0.4027011,355.8844,
0,7_25,11_53_43,6.229168,1,0,0,0,1.942674,InstructionPhase,A,0.003096581,2.419007,-0.006533146,359.263,0.4053801,355.9113,
0,7_25,11_53_43,6.240372,1,0,0,0,1.953877,InstructionPhase,A,0.003054261,2.41888,-0.00652647,359.3332,0.3900086,355.9321,
0,7_25,11_53_43,6.251432,1,0,0,0,1.964938,InstructionPhase,A,0.003042579,2.418818,-0.006507277,359.3904,0.3713459,355.9745,
0,7_25,11_53_43,6.262032,1,0,0,0,1.975537,InstructionPhase,A,0.003064036,2.418732,-0.006462216,359.4131,0.3669643,355.9831,
0,7_25,11_53_43,6.273184,1,0,0,0,1.98669,InstructionPhase,A,0.003058195,2.418717,-0.006422281,359.4388,0.3549448,355.9674,
0,7_25,11_53_43,6.284656,1,0,0,0,1.998162,InstructionPhase,A,0.003121257,2.418689,-0.006352186,359.4355,0.3632388,355.9428,
0,7_25,11_53_43,6.29568,1,0,0,0,2.009185,InstructionPhase,A,0.003129244,2.418666,-0.006282926,359.4491,0.3668236,355.9367,
0,7_25,11_53_43,6.318039,1,0,0,0,2.031545,InstructionPhase,A,0.00322175,2.418547,-0.006221771,359.4768,0.390576,355.9094,
0,7_25,11_53_43,6.330613,1,0,0,0,2.044119,InstructionPhase,A,0.003232121,2.418478,-0.006129742,359.5144,0.4049759,355.9048,
0,7_25,11_53_43,6.340012,1,0,0,0,2.053518,InstructionPhase,A,0.003246307,2.4184,-0.00606823,359.5612,0.4264155,355.8848,
0,7_25,11_53_43,6.350298,1,0,0,0,2.063804,InstructionPhase,A,0.003295183,2.41828,-0.005954266,359.6099,0.44166,355.8677,
0,7_25,11_53_43,6.361638,1,0,0,0,2.075144,InstructionPhase,A,0.003299952,2.418158,-0.005826831,359.6562,0.4596098,355.8534,
0,7_25,11_53_43,6.372706,1,0,0,0,2.086212,InstructionPhase,A,0.003331661,2.418007,-0.005710602,359.7105,0.4713806,355.8554,
0,7_25,11_53_43,6.383553,1,0,0,0,2.097059,InstructionPhase,A,0.003308296,2.417854,-0.005600691,359.79,0.4865516,355.8508,
0,7_25,11_53_43,6.394594,1,0,0,0,2.1081,InstructionPhase,A,0.003328681,2.417699,-0.005468488,359.8814,0.5010812,355.8468,
0,7_25,11_53_43,6.405834,1,0,0,0,2.119339,InstructionPhase,A,0.003417373,2.417516,-0.00537622,359.9542,0.5218719,355.8501,
0,7_25,11_53_43,6.417084,1,0,0,0,2.13059,InstructionPhase,A,0.003437996,2.417335,-0.005223989,0.05815745,0.5190206,355.8541,
0,7_25,11_53_43,6.427896,1,0,0,0,2.141402,InstructionPhase,A,0.003562093,2.417211,-0.005112171,0.1497358,0.5294639,355.8568,
0,7_25,11_53_43,6.439068,1,0,0,0,2.152574,InstructionPhase,A,0.003573418,2.417057,-0.004963398,0.2393792,0.5374442,355.8609,
0,7_25,11_53_43,6.450288,1,0,0,0,2.163794,InstructionPhase,A,0.003601432,2.416899,-0.004734159,0.3076635,0.547763,355.8562,
0,7_25,11_53_43,6.461341,1,0,0,0,2.174847,InstructionPhase,A,0.003592372,2.416745,-0.004585147,0.3699481,0.5712814,355.8344,
0,7_25,11_53_43,6.472386,1,0,0,0,2.185892,InstructionPhase,A,0.003578305,2.416616,-0.004401684,0.4200488,0.5820903,355.824,
0,7_25,11_53_43,6.483616,1,0,0,0,2.197122,InstructionPhase,A,0.003591895,2.416504,-0.0042032,0.5006502,0.5950125,355.8151,
0,7_25,11_53_43,6.495238,1,0,0,0,2.208744,InstructionPhase,A,0.003603578,2.416304,-0.004005075,0.6003628,0.5926268,355.8303,
0,7_25,11_53_43,6.50579,1,0,0,0,2.219296,InstructionPhase,A,0.003623009,2.416073,-0.003861427,0.7180343,0.576426,355.8428,
0,7_25,11_53_43,6.516852,1,0,0,0,2.230358,InstructionPhase,A,0.003574133,2.415843,-0.003749013,0.8649109,0.5636899,355.8752,
0,7_25,11_53_43,6.528296,1,0,0,0,2.241801,InstructionPhase,A,0.003399372,2.415566,-0.003597856,1.02065,0.5363297,355.9149,
0,7_25,11_53_43,6.540867,1,0,0,0,2.254373,InstructionPhase,A,0.003175855,2.415257,-0.003510833,1.151617,0.5087237,355.9284,
0,7_25,11_53_43,6.551029,1,0,0,0,2.264535,InstructionPhase,A,0.00312531,2.415048,-0.003384113,1.269669,0.4747522,355.9372,
0,7_25,11_53_43,6.561193,1,0,0,0,2.274699,InstructionPhase,A,0.003024578,2.414802,-0.003303409,1.355528,0.4324986,355.9298,
0,7_25,11_53_43,6.572381,1,0,0,0,2.285887,InstructionPhase,A,0.00294435,2.414626,-0.00323081,1.451547,0.3887621,355.9167,
0,7_25,11_53_43,6.583531,1,0,0,0,2.297037,InstructionPhase,A,0.002838612,2.414418,-0.003093243,1.562005,0.3378294,355.8863,
0,7_25,11_53_43,6.594534,1,0,0,0,2.30804,InstructionPhase,A,0.002770305,2.414196,-0.003043532,1.679458,0.2801494,355.8611,
0,7_25,11_53_43,6.606554,1,0,0,0,2.320059,InstructionPhase,A,0.002690554,2.413985,-0.002911091,1.811989,0.2360465,355.8391,
0,7_25,11_53_43,6.617736,1,0,0,0,2.331242,InstructionPhase,A,0.002655506,2.41374,-0.002781272,1.914104,0.1752161,355.825,
0,7_25,11_53_43,6.627904,1,0,0,0,2.34141,InstructionPhase,A,0.002578974,2.413558,-0.002582788,2.009119,0.1432203,355.8195,
0,7_25,11_53_43,6.638928,1,0,0,0,2.352434,InstructionPhase,A,0.002522588,2.413399,-0.002460837,2.065903,0.09032115,355.8103,
0,7_25,11_53_43,6.651901,1,0,0,0,2.365407,InstructionPhase,A,0.002394199,2.413306,-0.002340198,2.099822,0.05241049,355.77,
0,7_25,11_53_43,6.662635,1,0,0,0,2.376141,InstructionPhase,A,0.002353668,2.413173,-0.002244592,2.122309,0.03086234,355.7465,
0,7_25,11_53_43,6.673814,1,0,0,0,2.38732,InstructionPhase,A,0.002293587,2.413066,-0.002143025,2.166277,0.01787861,355.7129,
0,7_25,11_53_43,6.683327,1,0,0,0,2.396833,InstructionPhase,A,0.002313852,2.412978,-0.002061009,2.213014,0.01048914,355.6894,
0,7_25,11_53_43,6.694612,1,0,0,0,2.408117,InstructionPhase,A,0.002271414,2.412836,-0.001967669,2.259048,0.003125106,355.6733,
0,7_25,11_53_43,6.706225,1,0,0,0,2.419731,InstructionPhase,A,0.00229919,2.412789,-0.001843095,2.311148,-0.002673686,355.6715,
0,7_25,11_53_43,6.717433,1,0,0,0,2.430939,InstructionPhase,A,0.002236962,2.412732,-0.001799703,2.337537,0.005084904,355.6834,
0,7_25,11_53_43,6.72815,1,0,0,0,2.441656,InstructionPhase,A,0.002204776,2.412685,-0.001733661,2.35833,0.0005148547,355.7003,
0,7_25,11_53_43,6.739299,1,0,0,0,2.452805,InstructionPhase,A,0.002178431,2.412625,-0.001623631,2.356886,0.006039688,355.726,
0,7_25,11_53_43,6.750399,1,0,0,0,2.463904,InstructionPhase,A,0.002084613,2.412605,-0.001513243,2.372493,0.01888858,355.7472,
